Model : vgg19 - Learning Type: cifar10/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vgg19/cifar10/vgg19_cifar10_baseline.pt

